Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0.0532	0.000236462	
0.0533	0.000238816	
0.0534	0.000241147	
0.0535	0.000243448	
0.0536	0.000245715	
0.0537	0.000247941	
0.0538	0.000250123	
0.0539	0.000252255	
0.054	0.000254333	
0.0541	0.000256353	
0.0542	0.000258309	
0.0543	0.000260198	
0.0544	0.000262016	
0.0545	0.00026376	
0.0546	0.000265426	
0.0547	0.000267011	
0.0548	0.000268512	
0.0549	0.000269926	
0.055	0.000271251	
0.0551	0.000272485	
0.0552	0.000273627	
0.0553	0.000274674	
0.0554	0.000275625	
0.0555	0.00027648	
0.0556	0.000277237	
0.0557	0.000277896	
0.0558	0.000278458	
0.0559	0.000278921	
0.056	0.000279287	
0.0561	0.000279556	
0.0562	0.000279729	
0.0563	0.000279807	
0.0564	0.000279792	
0.0565	0.000279685	
0.0566	0.000279489	
0.0567	0.000279204	
0.0568	0.000278834	
0.0569	0.000278381	
0.057	0.000277848	
0.0571	0.000277238	
0.0572	0.000276553	
0.0573	0.000275797	
0.0574	0.000274974	
0.0575	0.000274087	
0.0576	0.000273139	
0.0577	0.000272135	
0.0578	0.000271077	
0.0579	0.000269971	
0.058	0.00026882	
0.0581	0.000267628	
0.0582	0.0002664	
0.0583	0.000265139	
0.0584	0.000263849	
0.0585	0.000262535	
0.0586	0.000261201	
0.0587	0.00025985	
0.0588	0.000258487	
0.0589	0.000257117	
0.059	0.000255741	
0.0591	0.000254366	
0.0592	0.000252993	
0.0593	0.000251628	
0.0594	0.000250273	
0.0595	0.000248931	
0.0596	0.000247606	
0.0597	0.000246302	
0.0598	0.00024502	
0.0599	0.000243764	
0.06	0.000242535	
0.0601	0.000241338	
0.0602	0.000240172	
0.0603	0.000239042	
0.0604	0.000237948	
0.0605	0.000236892	
0.0606	0.000235875	
0.0607	0.000234899	
0.0608	0.000233965	
0.0609	0.000233072	
0.061	0.000232223	
0.0611	0.000231416	
0.0612	0.000230653	
0.0613	0.000229933	
0.0614	0.000229255	
0.0615	0.00022862	
0.0616	0.000228027	
0.0617	0.000227474	
0.0618	0.000226961	
0.0619	0.000226486	
0.062	0.000226047	
0.0621	0.000225645	
0.0622	0.000225275	
0.0623	0.000224937	
0.0624	0.000224628	
0.0625	0.000224346	
0.0626	0.000224089	
0.0627	0.000223855	
0.0628	0.000223639	
0.0629	0.000223441	
0.063	0.000223256	
0.0631	0.000223083	
0.0632	0.000222918	
0.0633	0.000222757	
0.0634	0.000222599	
0.0635	0.00022244	
0.0636	0.000222277	
0.0637	0.000222107	
0.0638	0.000221927	
0.0639	0.000221733	
0.064	0.000221523	
0.0641	0.000221293	
0.0642	0.000221042	
0.0643	0.000220766	
0.0644	0.000220462	
0.0645	0.000220129	
0.0646	0.000219763	
0.0647	0.000219362	
0.0648	0.000218926	
0.0649	0.00021845	
0.065	0.000217935	
0.0651	0.000217377	
0.0652	0.000216778	
0.0653	0.000216134	
0.0654	0.000215446	
0.0655	0.000214713	
0.0656	0.000213934	
0.0657	0.000213111	
0.0658	0.000212243	
0.0659	0.00021133	
0.066	0.000210374	
0.0661	0.000209377	
0.0662	0.000208338	
0.0663	0.000207261	
0.0664	0.000206147	
0.0665	0.000204999	
0.0666	0.000203819	
0.0667	0.000202611	
0.0668	0.000201377	
0.0669	0.000200121	
0.067	0.000198847	
0.0671	0.000197559	
0.0672	0.00019626	
0.0673	0.000194956	
0.0674	0.000193651	
0.0675	0.00019235	
0.0676	0.000191057	
0.0677	0.000189778	
0.0678	0.000188519	
0.0679	0.000187284	
0.068	0.000186079	
0.0681	0.000184909	
0.0682	0.00018378	
0.0683	0.000182697	
0.0684	0.000181666	
0.0685	0.000180692	
0.0686	0.000179781	
0.0687	0.000178937	
0.0688	0.000178166	
0.0689	0.000177474	
0.069	0.000176864	
0.0691	0.000176341	
0.0692	0.00017591	
0.0693	0.000175574	
0.0694	0.000175338	
0.0695	0.000175205	
0.0696	0.000175178	
0.0697	0.000175261	
0.0698	0.000175455	
0.0699	0.000175762	
0.07	0.000176185	
0.0701	0.000176725	
0.0702	0.000177382	
0.0703	0.000178157	
0.0704	0.000179051	
0.0705	0.000180062	
0.0706	0.000181189	
0.0707	0.000182432	
0.0708	0.000183788	
0.0709	0.000185256	
0.071	0.000186832	
0.0711	0.000188514	
0.0712	0.000190297	
0.0713	0.000192178	
0.0714	0.000194152	
0.0715	0.000196215	
0.0716	0.000198361	
0.0717	0.000200584	
0.0718	0.000202879	
0.0719	0.000205239	
0.072	0.000207658	
0.0721	0.000210129	
0.0722	0.000212644	
0.0723	0.000215197	
0.0724	0.000217779	
0.0725	0.000220384	
0.0726	0.000223003	
0.0727	0.000225629	
0.0728	0.000228252	
0.0729	0.000230866	
0.073	0.000233462	
0.0731	0.000236033	
0.0732	0.000238569	
0.0733	0.000241064	
0.0734	0.00024351	
0.0735	0.000245899	
0.0736	0.000248223	
0.0737	0.000250476	
0.0738	0.00025265	
0.0739	0.000254739	
0.074	0.000256737	
0.0741	0.000258638	
0.0742	0.000260435	
0.0743	0.000262124	
0.0744	0.0002637	
0.0745	0.000265158	
0.0746	0.000266494	
0.0747	0.000267705	
0.0748	0.000268788	
0.0749	0.00026974	
0.075	0.000270559	
0.0751	0.000271242	
0.0752	0.00027179	
0.0753	0.000272202	
0.0754	0.000272476	
0.0755	0.000272615	
0.0756	0.000272617	
0.0757	0.000272486	
0.0758	0.000272221	
0.0759	0.000271827	
0.076	0.000271305	
0.0761	0.000270659	
0.0762	0.000269892	
0.0763	0.000269009	
0.0764	0.000268013	
0.0765	0.00026691	
0.0766	0.000265704	
0.0767	0.000264401	
0.0768	0.000263008	
0.0769	0.000261529	
0.077	0.000259971	
0.0771	0.00025834	
0.0772	0.000256645	
0.0773	0.00025489	
0.0774	0.000253084	
0.0775	0.000251233	
0.0776	0.000249345	
0.0777	0.000247427	
0.0778	0.000245486	
0.0779	0.000243529	
0.078	0.000241565	
0.0781	0.000239599	
0.0782	0.00023764	
0.0783	0.000235694	
0.0784	0.000233768	
0.0785	0.000231869	
0.0786	0.000230003	
0.0787	0.000228176	
0.0788	0.000226396	
0.0789	0.000224667	
0.079	0.000222995	
0.0791	0.000221385	
0.0792	0.000219843	
0.0793	0.000218372	
0.0794	0.000216977	
0.0795	0.000215663	
0.0796	0.000214432	
0.0797	0.000213288	
0.0798	0.000212234	
0.0799	0.000211271	
0.08	0.000210403	
0.0801	0.00020963	
0.0802	0.000208954	
0.0803	0.000208376	
0.0804	0.000207896	
0.0805	0.000207515	
0.0806	0.000207231	
0.0807	0.000207044	
0.0808	0.000206953	
0.0809	0.000206957	
0.081	0.000207054	
0.0811	0.000207241	
0.0812	0.000207516	
0.0813	0.000207877	
0.0814	0.00020832	
0.0815	0.000208843	
0.0816	0.00020944	
0.0817	0.000210109	
0.0818	0.000210845	
0.0819	0.000211644	
0.082	0.000212501	
0.0821	0.000213412	
0.0822	0.000214372	
0.0823	0.000215376	
0.0824	0.000216419	
0.0825	0.000217495	
0.0826	0.0002186	
0.0827	0.000219728	
0.0828	0.000220874	
0.0829	0.000222032	
0.083	0.000223198	
0.0831	0.000224365	
0.0832	0.00022553	
0.0833	0.000226686	
0.0834	0.000227829	
0.0835	0.000228954	
0.0836	0.000230056	
0.0837	0.000231131	
0.0838	0.000232174	
0.0839	0.00023318	
0.084	0.000234147	
0.0841	0.000235069	
0.0842	0.000235944	
0.0843	0.000236768	
0.0844	0.000237539	
0.0845	0.000238252	
0.0846	0.000238906	
0.0847	0.000239498	
0.0848	0.000240027	
0.0849	0.00024049	
0.085	0.000240886	
0.0851	0.000241215	
0.0852	0.000241474	
0.0853	0.000241665	
0.0854	0.000241785	
0.0855	0.000241836	
0.0856	0.000241818	
0.0857	0.000241731	
0.0858	0.000241577	
0.0859	0.000241356	
0.086	0.00024107	
0.0861	0.00024072	
0.0862	0.00024031	
0.0863	0.00023984	
0.0864	0.000239314	
0.0865	0.000238734	
0.0866	0.000238103	
0.0867	0.000237424	
0.0868	0.0002367	
0.0869	0.000235935	
0.087	0.000235133	
0.0871	0.000234296	
0.0872	0.00023343	
0.0873	0.000232538	
0.0874	0.000231624	
0.0875	0.000230692	
0.0876	0.000229746	
0.0877	0.000228791	
0.0878	0.000227831	
0.0879	0.00022687	
0.088	0.000225912	
0.0881	0.000224962	
0.0882	0.000224024	
0.0883	0.000223101	
0.0884	0.000222198	
0.0885	0.000221318	
0.0886	0.000220466	
0.0887	0.000219645	
0.0888	0.000218858	
0.0889	0.000218108	
0.089	0.000217399	
0.0891	0.000216733	
0.0892	0.000216114	
0.0893	0.000215543	
0.0894	0.000215023	
0.0895	0.000214556	
0.0896	0.000214143	
0.0897	0.000213786	
0.0898	0.000213486	
0.0899	0.000213244	
