Time[s] - Voltage	Amplitude [V] - Voltage	
0.0602	1.84931	
0.0603	2.1853	
0.0604	2.5203	
0.0605	2.70736	
0.0606	2.36974	
0.0607	2.03539	
0.0608	1.70136	
0.0609	1.36701	
0.061	1.03298	
0.0611	0.700253	
0.0612	0.366876	
0.0613	0.0344769	
0.0614	-0.298574	
0.0615	-0.630973	
0.0616	-0.963046	
0.0617	-1.2974	
0.0618	-1.62915	
0.0619	-1.96253	
0.062	-2.29525	
0.0621	-2.6283	
0.0622	-2.57518	
0.0623	-2.23855	
0.0624	-1.90387	
0.0625	-1.56919	
0.0626	-1.23516	
0.0627	-0.901455	
0.0628	-0.5671	
0.0629	-0.233072	
0.063	0.101609	
0.0631	0.435311	
0.0632	0.770317	
0.0633	1.105	
0.0634	1.4387	
0.0635	1.77501	
0.0636	2.11067	
0.0637	2.44633	
0.0638	2.78198	
0.0639	2.44405	
0.064	2.10936	
0.0641	1.77403	
0.0642	1.44	
0.0643	1.1063	
0.0644	0.77325	
0.0645	0.439548	
0.0646	0.1078	
0.0647	-0.225902	
0.0648	-0.558302	
0.0649	-0.891027	
0.065	-1.22408	
0.0651	-1.55745	
0.0652	-1.89018	
0.0653	-2.2229	
0.0654	-2.55661	
0.0655	-2.64916	
0.0656	-2.3135	
0.0657	-1.97621	
0.0658	-1.64251	
0.0659	-1.30848	
0.066	-0.973475	
0.0661	-0.638468	
0.0662	-0.305743	
0.0663	0.0305664	
0.0664	0.36264	
0.0665	0.69732	
0.0666	1.03363	
0.0667	1.36766	
0.0668	1.70266	
0.0669	2.03767	
0.067	2.37398	
0.0671	2.71029	
0.0672	2.51639	
0.0673	2.18073	
0.0674	1.84605	
0.0675	1.5117	
0.0676	1.17767	
0.0677	0.844618	
0.0678	0.511568	
0.0679	0.178842	
0.068	-0.154208	
0.0681	-0.486934	
0.0682	-0.819659	
0.0683	-1.15206	
0.0684	-1.48511	
0.0685	-1.81979	
0.0686	-2.15284	
0.0687	-2.48524	
0.0688	-2.72183	
0.0689	-2.38454	
0.069	-2.05051	
0.0691	-1.7142	
0.0692	-1.37985	
0.0693	-1.04484	
0.0694	-0.710488	
0.0695	-0.37646	
0.0696	-0.0437346	
0.0697	0.291272	
0.0698	0.6253	
0.0699	0.960306	
0.07	1.29564	
0.0701	1.63064	
0.0702	1.96598	
0.0703	2.30066	
0.0704	2.63762	
0.0705	2.58939	
0.0706	2.2534	
0.0707	1.9184	
0.0708	1.58404	
0.0709	1.25002	
0.071	0.916638	
0.0711	0.58261	
0.0712	0.250211	
0.0713	-0.0821887	
0.0714	-0.41524	
0.0715	-0.747639	
0.0716	-1.08069	
0.0717	-1.41309	
0.0718	-1.74581	
0.0719	-2.07919	
0.072	-2.41289	
