Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0.0667	0.000254507	
0.0668	0.000254428	
0.0669	0.000254318	
0.067	0.000254178	
0.0671	0.000254008	
0.0672	0.000253809	
0.0673	0.000253582	
0.0674	0.000253326	
0.0675	0.000253044	
0.0676	0.000252736	
0.0677	0.000252404	
0.0678	0.000252048	
0.0679	0.00025167	
0.068	0.000251271	
0.0681	0.000250853	
0.0682	0.000250417	
0.0683	0.000249965	
0.0684	0.000249498	
0.0685	0.000249018	
0.0686	0.000248526	
0.0687	0.000248025	
0.0688	0.000247516	
0.0689	0.000247001	
0.069	0.000246482	
0.0691	0.00024596	
0.0692	0.000245437	
0.0693	0.000244916	
0.0694	0.000244397	
0.0695	0.000243882	
0.0696	0.000243374	
0.0697	0.000242874	
0.0698	0.000242384	
0.0699	0.000241905	
0.07	0.000241439	
0.0701	0.000240987	
0.0702	0.000240552	
0.0703	0.000240133	
0.0704	0.000239734	
0.0705	0.000239355	
0.0706	0.000238997	
0.0707	0.000238661	
0.0708	0.00023835	
0.0709	0.000238063	
0.071	0.000237802	
0.0711	0.000237567	
0.0712	0.000237361	
0.0713	0.000237182	
0.0714	0.000237032	
0.0715	0.000236912	
0.0716	0.000236822	
0.0717	0.000236763	
0.0718	0.000236734	
0.0719	0.000236737	
0.072	0.000236772	
0.0721	0.000236838	
0.0722	0.000236936	
0.0723	0.000237065	
0.0724	0.000237227	
0.0725	0.00023742	
0.0726	0.000237645	
0.0727	0.000237901	
0.0728	0.000238188	
0.0729	0.000238506	
0.073	0.000238855	
0.0731	0.000239233	
0.0732	0.000239641	
0.0733	0.000240078	
0.0734	0.000240544	
0.0735	0.000241038	
0.0736	0.000241559	
0.0737	0.000242107	
0.0738	0.000242681	
0.0739	0.00024328	
0.074	0.000243904	
0.0741	0.000244552	
0.0742	0.000245223	
0.0743	0.000245917	
0.0744	0.000246632	
0.0745	0.000247368	
0.0746	0.000248123	
0.0747	0.000248898	
0.0748	0.00024969	
0.0749	0.0002505	
0.075	0.000251326	
0.0751	0.000252167	
0.0752	0.000253022	
0.0753	0.00025389	
0.0754	0.000254771	
0.0755	0.000255662	
0.0756	0.000256563	
0.0757	0.000257473	
0.0758	0.000258391	
0.0759	0.000259315	
0.076	0.000260244	
0.0761	0.000261177	
0.0762	0.000262113	
0.0763	0.00026305	
0.0764	0.000263987	
0.0765	0.000264922	
0.0766	0.000265855	
0.0767	0.000266784	
0.0768	0.000267707	
0.0769	0.000268622	
0.077	0.00026953	
0.0771	0.000270427	
0.0772	0.000271312	
0.0773	0.000272185	
0.0774	0.000273043	
0.0775	0.000273885	
0.0776	0.000274709	
0.0777	0.000275514	
0.0778	0.000276298	
0.0779	0.00027706	
0.078	0.000277798	
0.0781	0.000278511	
0.0782	0.000279198	
0.0783	0.000279857	
0.0784	0.000280486	
0.0785	0.000281085	
0.0786	0.000281653	
0.0787	0.000282187	
0.0788	0.000282688	
0.0789	0.000283153	
0.079	0.000283583	
0.0791	0.000283976	
0.0792	0.000284331	
0.0793	0.000284648	
0.0794	0.000284926	
0.0795	0.000285164	
0.0796	0.000285363	
0.0797	0.000285521	
0.0798	0.000285639	
0.0799	0.000285717	
0.08	0.000285754	
0.0801	0.00028575	
0.0802	0.000285707	
0.0803	0.000285624	
0.0804	0.000285501	
0.0805	0.00028534	
0.0806	0.000285141	
0.0807	0.000284904	
0.0808	0.000284631	
0.0809	0.000284322	
0.081	0.000283979	
0.0811	0.000283602	
0.0812	0.000283194	
0.0813	0.000282754	
0.0814	0.000282286	
0.0815	0.000281789	
0.0816	0.000281267	
0.0817	0.000280719	
0.0818	0.000280149	
0.0819	0.000279557	
0.082	0.000278946	
0.0821	0.000278316	
0.0822	0.000277671	
0.0823	0.000277011	
0.0824	0.000276339	
0.0825	0.000275655	
0.0826	0.000274963	
0.0827	0.000274263	
0.0828	0.000273558	
0.0829	0.000272849	
0.083	0.000272137	
0.0831	0.000271424	
0.0832	0.000270712	
0.0833	0.000270001	
0.0834	0.000269294	
0.0835	0.000268592	
0.0836	0.000267895	
0.0837	0.000267204	
0.0838	0.000266521	
0.0839	0.000265847	
0.084	0.000265181	
0.0841	0.000264525	
0.0842	0.00026388	
0.0843	0.000263244	
0.0844	0.00026262	
0.0845	0.000262006	
0.0846	0.000261403	
0.0847	0.000260811	
0.0848	0.000260229	
0.0849	0.000259658	
0.085	0.000259097	
0.0851	0.000258545	
0.0852	0.000258002	
0.0853	0.000257467	
0.0854	0.000256939	
0.0855	0.000256418	
0.0856	0.000255903	
0.0857	0.000255392	
0.0858	0.000254886	
0.0859	0.000254383	
0.086	0.000253881	
0.0861	0.00025338	
0.0862	0.00025288	
0.0863	0.000252378	
0.0864	0.000251874	
0.0865	0.000251367	
0.0866	0.000250857	
0.0867	0.000250342	
0.0868	0.000249821	
0.0869	0.000249294	
0.087	0.000248761	
0.0871	0.00024822	
0.0872	0.000247672	
0.0873	0.000247116	
0.0874	0.000246552	
0.0875	0.00024598	
0.0876	0.000245399	
0.0877	0.000244811	
0.0878	0.000244216	
0.0879	0.000243613	
0.088	0.000243004	
0.0881	0.00024239	
0.0882	0.000241771	
0.0883	0.000241149	
0.0884	0.000240525	
0.0885	0.000239899	
0.0886	0.000239275	
0.0887	0.000238653	
0.0888	0.000238036	
0.0889	0.000237425	
0.089	0.000236822	
0.0891	0.00023623	
0.0892	0.00023565	
0.0893	0.000235086	
0.0894	0.00023454	
0.0895	0.000234015	
0.0896	0.000233512	
0.0897	0.000233035	
0.0898	0.000232587	
0.0899	0.00023217	
0.09	0.000231787	
0.0901	0.00023144	
0.0902	0.000231134	
0.0903	0.00023087	
0.0904	0.000230652	
0.0905	0.000230481	
0.0906	0.000230361	
0.0907	0.000230293	
0.0908	0.000230281	
0.0909	0.000230327	
0.091	0.000230433	
0.0911	0.000230601	
0.0912	0.000230833	
0.0913	0.00023113	
0.0914	0.000231494	
0.0915	0.000231926	
0.0916	0.000232428	
0.0917	0.000233	
0.0918	0.000233643	
0.0919	0.000234357	
0.092	0.000235143	
0.0921	0.000235999	
0.0922	0.000236926	
0.0923	0.000237924	
0.0924	0.00023899	
0.0925	0.000240124	
0.0926	0.000241324	
0.0927	0.000242588	
0.0928	0.000243914	
0.0929	0.0002453	
0.093	0.000246743	
0.0931	0.000248239	
0.0932	0.000249785	
0.0933	0.000251378	
0.0934	0.000253014	
0.0935	0.000254688	
0.0936	0.000256397	
0.0937	0.000258135	
0.0938	0.000259897	
0.0939	0.000261679	
0.094	0.000263476	
0.0941	0.000265281	
0.0942	0.000267089	
0.0943	0.000268894	
0.0944	0.000270691	
0.0945	0.000272474	
0.0946	0.000274236	
0.0947	0.000275971	
0.0948	0.000277674	
0.0949	0.000279337	
0.095	0.000280955	
0.0951	0.000282522	
0.0952	0.000284031	
0.0953	0.000285477	
0.0954	0.000286854	
0.0955	0.000288156	
0.0956	0.000289377	
0.0957	0.000290512	
0.0958	0.000291555	
0.0959	0.000292503	
0.096	0.000293349	
0.0961	0.00029409	
0.0962	0.000294721	
0.0963	0.000295238	
0.0964	0.000295638	
0.0965	0.000295917	
0.0966	0.000296074	
0.0967	0.000296104	
0.0968	0.000296006	
0.0969	0.000295778	
0.097	0.000295419	
0.0971	0.000294929	
0.0972	0.000294306	
0.0973	0.00029355	
0.0974	0.000292663	
0.0975	0.000291645	
0.0976	0.000290497	
0.0977	0.000289221	
0.0978	0.00028782	
0.0979	0.000286296	
0.098	0.000284652	
0.0981	0.000282893	
0.0982	0.000281021	
0.0983	0.000279043	
0.0984	0.000276963	
0.0985	0.000274785	
0.0986	0.000272517	
0.0987	0.000270164	
0.0988	0.000267732	
0.0989	0.00026523	
0.099	0.000262662	
0.0991	0.000260039	
0.0992	0.000257366	
0.0993	0.000254653	
0.0994	0.000251907	
0.0995	0.000249137	
0.0996	0.000246352	
0.0997	0.00024356	
0.0998	0.00024077	
0.0999	0.000237992	
