Time[s] - Voltage	Amplitude [V] - Voltage	
0.0573	2.78883	
0.0574	2.78948	
0.0575	-2.77495	
0.0576	-2.77267	
0.0577	-2.77071	
0.0578	-2.77039	
0.0579	-2.77006	
0.058	-2.77006	
0.0581	-2.76876	
0.0582	-2.76941	
0.0583	-2.7681	
0.0584	-2.76973	
0.0585	-2.76973	
0.0586	-2.77039	
0.0587	-2.76941	
0.0588	-2.76973	
0.0589	-2.76941	
0.059	-2.76941	
0.0591	-2.76843	
0.0592	-2.77006	
0.0593	-2.76876	
0.0594	-2.77071	
0.0595	-2.77006	
0.0596	-2.76973	
0.0597	-2.77039	
0.0598	-2.76973	
0.0599	-2.77136	
0.06	-2.76908	
0.0601	-2.76876	
0.0602	-2.76973	
0.0603	-2.76973	
0.0604	-2.77071	
0.0605	-2.77006	
0.0606	-2.76973	
0.0607	-2.77071	
0.0608	-2.77071	
0.0609	-2.76941	
0.061	-2.76941	
0.0611	-2.77397	
0.0612	-2.77234	
0.0613	-2.76941	
0.0614	-2.77006	
0.0615	-2.77039	
0.0616	-2.77006	
0.0617	-2.77006	
0.0618	-2.77071	
0.0619	-2.77006	
0.062	-2.77006	
0.0621	-2.77006	
0.0622	-2.77104	
0.0623	-2.77169	
0.0624	-2.77039	
0.0625	-2.77039	
0.0626	-2.76941	
0.0627	-2.76973	
0.0628	-2.77071	
0.0629	-2.77039	
0.063	-2.77006	
0.0631	-2.77071	
0.0632	-2.77039	
0.0633	-2.77039	
0.0634	-2.77039	
0.0635	-2.77136	
0.0636	2.79535	
0.0637	2.79306	
0.0638	2.79078	
0.0639	2.78948	
0.064	2.78883	
0.0641	2.7885	
0.0642	2.7885	
0.0643	2.78883	
0.0644	2.78785	
0.0645	2.78785	
0.0646	2.78818	
0.0647	2.7885	
0.0648	2.78687	
0.0649	2.7885	
0.065	2.7885	
0.0651	2.78785	
0.0652	2.78818	
0.0653	2.7885	
0.0654	2.7885	
0.0655	2.78915	
0.0656	2.78752	
0.0657	2.78915	
0.0658	2.78818	
0.0659	2.78818	
0.066	2.78981	
0.0661	2.78883	
0.0662	2.78818	
0.0663	2.7885	
0.0664	2.78818	
0.0665	2.78785	
0.0666	2.7885	
0.0667	2.7885	
0.0668	2.78948	
0.0669	2.7885	
0.067	2.7885	
0.0671	2.78948	
0.0672	2.78752	
0.0673	2.78883	
0.0674	2.7885	
0.0675	2.78883	
0.0676	2.78948	
0.0677	2.78785	
0.0678	2.78948	
0.0679	2.78915	
0.068	2.78883	
0.0681	2.78915	
0.0682	2.78915	
0.0683	2.78948	
0.0684	2.78948	
0.0685	2.78785	
0.0686	2.78948	
0.0687	2.78883	
0.0688	2.78948	
0.0689	2.78948	
0.069	2.79013	
0.0691	2.7885	
0.0692	2.78981	
0.0693	2.78948	
0.0694	2.78818	
0.0695	2.78948	
0.0696	2.78883	
0.0697	2.78915	
0.0698	-2.77332	
0.0699	-2.77104	
0.07	-2.77039	
0.0701	-2.77039	
0.0702	-2.76941	
0.0703	-2.77039	
0.0704	-2.76941	
0.0705	-2.76941	
0.0706	-2.76973	
0.0707	-2.76973	
0.0708	-2.76973	
0.0709	-2.76876	
0.071	-2.76843	
0.0711	-2.77006	
0.0712	-2.76973	
0.0713	-2.77071	
0.0714	-2.76941	
0.0715	-2.76876	
0.0716	-2.77006	
0.0717	-2.76973	
0.0718	-2.76973	
0.0719	-2.76973	
0.072	-2.77039	
0.0721	-2.77006	
0.0722	-2.76941	
0.0723	-2.77006	
0.0724	-2.77039	
0.0725	-2.77039	
0.0726	-2.76941	
0.0727	-2.77006	
0.0728	-2.77071	
0.0729	-2.77006	
0.073	-2.76941	
0.0731	-2.77071	
0.0732	-2.76973	
0.0733	-2.76908	
0.0734	-2.77006	
0.0735	-2.76941	
0.0736	-2.77039	
0.0737	-2.77006	
0.0738	-2.77006	
0.0739	-2.76941	
0.074	-2.77104	
0.0741	-2.76973	
0.0742	-2.77039	
0.0743	-2.76973	
0.0744	-2.76973	
0.0745	-2.76973	
