Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
1290.666667	1.31435E-8	1290.666667	2.87883E-8	
1293.333333	4.26052E-9	1293.333333	2.95562E-8	
1296	1.27383E-7	1296	6.44011E-8	
1298.666667	2.11469E-7	1298.666667	1.78907E-8	
1301.333333	2.93198E-8	1301.333333	1.36299E-7	
1304	1.05633E-7	1304	2.36939E-9	
1306.666667	8.13247E-8	1306.666667	6.4741E-9	
1309.333333	5.83617E-8	1309.333333	1.40825E-7	
1312	3.71639E-10	1312	4.82021E-8	
1314.666667	4.45424E-7	1314.666667	7.19545E-7	
1317.333333	2.63044E-7	1317.333333	2.6002E-7	
1320	2.90697E-6	1320	2.79358E-6	
1322.666667	2.16827E-6	1322.666667	1.53967E-6	
1325.333333	3.30442E-7	1325.333333	3.55635E-8	
1328	7.97504E-8	1328	1.08113E-7	
1330.666667	1.48288E-8	1330.666667	1.82696E-7	
1333.333333	6.98926E-7	1333.333333	4.27172E-8	
1336	4.84091E-8	1336	5.75627E-8	
1338.666667	4.56854E-8	1338.666667	3.27033E-8	
1341.333333	1.21042E-7	1341.333333	5.12456E-8	
1344	1.95435E-8	1344	1.14967E-7	
1346.666667	1.13753E-7	1346.666667	2.75845E-7	
1349.333333	1.13935E-7	1349.333333	4.19324E-8	
1352	2.86543E-7	1352	6.09173E-8	
1354.666667	9.24636E-8	1354.666667	3.06251E-7	
1357.333333	1.3762E-8	1357.333333	2.01159E-7	
1360	2.939E-7	1360	5.38731E-8	
1362.666667	4.87022E-8	1362.666667	5.2141E-7	
1365.333333	4.07682E-8	1365.333333	4.10342E-7	
1368	4.04586E-8	1368	1.35996E-7	
1370.666667	2.05343E-8	1370.666667	6.14578E-8	
1373.333333	1.19697E-7	1373.333333	1.54939E-7	
1376	7.11712E-8	1376	4.63549E-7	
1378.666667	9.82345E-8	1378.666667	2.07643E-7	
1381.333333	1.16542E-7	1381.333333	5.82378E-8	
1384	2.76369E-8	1384	5.08899E-8	
1386.666667	2.1461E-7	1386.666667	2.39844E-8	
1389.333333	9.16741E-8	1389.333333	6.74228E-9	
1392	2.7565E-7	1392	1.59681E-7	
1394.666667	1.08979E-7	1394.666667	4.9535E-9	
1397.333333	2.62247E-8	1397.333333	4.536E-7	
1400	5.75266E-8	1400	8.35786E-8	
1402.666667	3.13472E-8	1402.666667	4.2528E-7	
1405.333333	7.48372E-8	1405.333333	7.26173E-8	
1408	6.34551E-9	1408	5.58419E-8	
1410.666667	5.18772E-9	1410.666667	4.4181E-8	
1413.333333	1.00352E-7	1413.333333	1.24793E-7	
1416	6.64144E-9	1416	2.52698E-8	
1418.666667	4.17659E-8	1418.666667	1.30619E-7	
