Time[s] - Voltage_0	Amplitude [V] - Voltage_0	
0.0573	0.000284129	
0.0574	0.000284129	
0.0575	0.000352406	
0.0576	0.000284129	
0.0577	0.000284129	
0.0578	0.000215852	
0.0579	0.000147575	
0.058	-5.72567E-5	
0.0581	7.92975E-5	
0.0582	7.92975E-5	
0.0583	0.000147575	
0.0584	0.00048896	
0.0585	0.000352406	
0.0586	-5.72567E-5	
0.0587	0.000352406	
0.0588	1.10204E-5	
0.0589	0.000215852	
0.059	7.92975E-5	
0.0591	0.000215852	
0.0592	0.000352406	
0.0593	0.00048896	
0.0594	0.000352406	
0.0595	7.92975E-5	
0.0596	7.92975E-5	
0.0597	0.000420683	
0.0598	0.000284129	
0.0599	0.000215852	
0.06	0.000352406	
0.0601	0.000420683	
0.0602	0.000147575	
0.0603	0.000147575	
0.0604	0.000215852	
0.0605	0.000147575	
0.0606	0.000215852	
0.0607	0.000215852	
0.0608	0.000215852	
0.0609	0.000625514	
0.061	0.000284129	
0.0611	0.000352406	
0.0612	0.000420683	
0.0613	0.000147575	
0.0614	0.000284129	
0.0615	0.000352406	
0.0616	-5.72567E-5	
0.0617	0.000625514	
0.0618	0.000215852	
0.0619	0.000284129	
0.062	-0.000330365	
0.0621	0.000147575	
0.0622	0.000352406	
0.0623	0.000420683	
0.0624	0.000284129	
0.0625	0.000284129	
0.0626	-5.72567E-5	
0.0627	0.000147575	
0.0628	-0.000193811	
0.0629	0.000284129	
0.063	0.000284129	
0.0631	0.000352406	
0.0632	0.000352406	
0.0633	0.000625514	
0.0634	0.000352406	
0.0635	0.000284129	
0.0636	1.10204E-5	
0.0637	0.000215852	
0.0638	0.000147575	
0.0639	0.000147575	
0.064	0.000284129	
0.0641	0.00048896	
0.0642	0.000284129	
0.0643	-0.000125534	
0.0644	0.000147575	
0.0645	0.000215852	
0.0646	0.000215852	
0.0647	0.000284129	
0.0648	0.000352406	
0.0649	0.000284129	
0.065	0.000284129	
0.0651	0.000625514	
0.0652	0.000215852	
0.0653	0.000284129	
0.0654	-5.72567E-5	
0.0655	0.000284129	
0.0656	0.000284129	
0.0657	0.000557237	
0.0658	0.00048896	
0.0659	0.000284129	
0.066	0.000215852	
0.0661	0.000147575	
0.0662	0.000420683	
0.0663	0.000352406	
0.0664	7.92975E-5	
0.0665	1.10204E-5	
0.0666	-0.000262088	
0.0667	-5.72567E-5	
0.0668	0.000147575	
0.0669	0.000215852	
0.067	0.000693791	
0.0671	0.00048896	
0.0672	0.00048896	
0.0673	1.10204E-5	
