Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
986.666667	2.8759E-6	986.666667	3.64528E-7	
989.333333	4.56419E-6	989.333333	3.33369E-7	
992	7.19998E-7	992	9.26374E-7	
994.666667	2.13878E-7	994.666667	7.1536E-8	
997.333333	2.77313E-8	997.333333	1.3282E-7	
1000	5.96342E-8	1000	1.47053E-9	
1002.666667	7.32717E-8	1002.666667	1.16634E-7	
1005.333333	5.37531E-8	1005.333333	4.83413E-9	
1008	3.82619E-8	1008	5.26132E-8	
1010.666667	4.93073E-8	1010.666667	9.29776E-8	
1013.333333	1.67635E-8	1013.333333	1.57903E-8	
1016	5.93088E-8	1016	2.25898E-7	
1018.666667	1.28759E-8	1018.666667	4.97439E-8	
1021.333333	4.15319E-8	1021.333333	3.56076E-7	
1024	1.08748E-7	1024	1.87277E-8	
1026.666667	1.41087E-7	1026.666667	1.9391E-8	
1029.333333	3.56484E-8	1029.333333	2.30837E-7	
1032	1.47432E-7	1032	6.00727E-7	
1034.666667	6.54236E-8	1034.666667	1.2366E-7	
1037.333333	7.20246E-8	1037.333333	9.14741E-8	
1040	1.25094E-7	1040	8.56993E-9	
1042.666667	3.83862E-8	1042.666667	1.5095E-7	
1045.333333	2.93424E-7	1045.333333	2.62239E-7	
1048	1.96432E-7	1048	1.49292E-7	
1050.666667	6.92227E-8	1050.666667	1.08955E-7	
1053.333333	3.83631E-8	1053.333333	5.20329E-8	
1056	1.95279E-7	1056	1.83839E-8	
1058.666667	4.0199E-8	1058.666667	1.87993E-7	
1061.333333	7.58031E-8	1061.333333	2.89598E-7	
1064	1.64523E-7	1064	9.09354E-8	
1066.666667	4.26169E-8	1066.666667	3.07332E-8	
1069.333333	3.71978E-8	1069.333333	2.83637E-7	
1072	1.88538E-7	1072	7.74495E-7	
1074.666667	1.93692E-7	1074.666667	2.93826E-7	
1077.333333	8.22376E-8	1077.333333	3.97996E-8	
1080	4.22887E-7	1080	8.44255E-7	
1082.666667	2.62917E-7	1082.666667	1.02186E-7	
1085.333333	7.37308E-8	1085.333333	1.53269E-7	
1088	9.78969E-8	1088	1.20301E-6	
1090.666667	1.22643E-7	1090.666667	4.09701E-7	
1093.333333	1.74927E-8	1093.333333	4.18604E-8	
1096	1.41761E-7	1096	9.99696E-8	
1098.666667	4.50342E-8	1098.666667	5.80847E-8	
1101.333333	2.06537E-8	1101.333333	3.28107E-7	
1104	4.61553E-8	1104	1.01163E-8	
1106.666667	1.08589E-7	1106.666667	9.34567E-7	
1109.333333	5.0825E-8	1109.333333	6.52215E-7	
1112	6.2425E-8	1112	3.25857E-8	
1114.666667	1.54174E-7	1114.666667	2.24284E-8	
1117.333333	3.48487E-8	1117.333333	5.50691E-8	
1120	4.86546E-8	1120	2.47053E-7	
1122.666667	5.13037E-8	1122.666667	5.75532E-7	
1125.333333	2.08114E-7	1125.333333	1.52745E-7	
1128	8.84765E-8	1128	5.76804E-8	
1130.666667	1.72871E-7	1130.666667	3.56354E-7	
1133.333333	1.13207E-7	1133.333333	9.75946E-8	
1136	2.36521E-7	1136	8.67182E-8	
1138.666667	1.71437E-8	1138.666667	1.77568E-8	
1141.333333	1.31333E-7	1141.333333	6.87114E-8	
1144	4.44665E-8	1144	2.67524E-7	
1146.666667	4.3469E-9	1146.666667	3.74881E-7	
1149.333333	7.58529E-8	1149.333333	1.19714E-6	
1152	4.24044E-8	1152	1.42184E-6	
1154.666667	3.34537E-7	1154.666667	8.50024E-7	
1157.333333	1.43984E-7	1157.333333	1.00352E-6	
1160	5.68532E-7	1160	9.213E-7	
1162.666667	8.19752E-8	1162.666667	2.81336E-7	
1165.333333	5.87117E-8	1165.333333	2.73994E-7	
1168	2.54778E-8	1168	3.33446E-7	
1170.666667	3.92452E-8	1170.666667	1.70694E-8	
1173.333333	2.79855E-8	1173.333333	3.06546E-7	
1176	1.12731E-8	1176	1.58951E-7	
1178.666667	4.04632E-8	1178.666667	1.92967E-7	
1181.333333	1.75567E-8	1181.333333	4.60133E-7	
1184	2.69265E-8	1184	4.18192E-8	
1186.666667	4.85493E-8	1186.666667	3.10773E-7	
1189.333333	4.49576E-8	1189.333333	5.2101E-7	
1192	1.07671E-7	1192	1.36883E-8	
1194.666667	4.64108E-9	1194.666667	1.96596E-8	
1197.333333	2.28931E-8	1197.333333	1.04735E-7	
1200	1.1765E-7	1200	1.31551E-9	
1202.666667	6.96694E-8	1202.666667	5.66961E-8	
1205.333333	6.11875E-8	1205.333333	4.81375E-9	
1208	2.68959E-8	1208	1.01535E-8	
1210.666667	4.02279E-8	1210.666667	7.67144E-10	
1213.333333	5.3044E-8	1213.333333	1.06235E-7	
1216	3.56455E-8	1216	3.28704E-8	
1218.666667	1.61524E-8	1218.666667	4.17432E-8	
1221.333333	4.27346E-9	1221.333333	3.58792E-9	
1224	3.9352E-8	1224	2.92229E-8	
1226.666667	8.57641E-8	1226.666667	6.77568E-8	
1229.333333	1.93833E-7	1229.333333	5.1773E-8	
1232	9.56185E-8	1232	4.25546E-8	
1234.666667	2.00678E-7	1234.666667	1.63008E-6	
1237.333333	5.08616E-9	1237.333333	1.4486E-7	
1240	3.08247E-7	1240	1.29989E-8	
1242.666667	5.54013E-10	1242.666667	2.49347E-7	
1245.333333	2.89498E-7	1245.333333	3.05865E-8	
1248	1.66186E-7	1248	2.70524E-8	
1250.666667	1.14213E-7	1250.666667	7.53885E-8	
1253.333333	3.80647E-8	1253.333333	5.03999E-9	
1256	4.95137E-7	1256	2.66787E-7	
1258.666667	1.93515E-8	1258.666667	2.22103E-7	
1261.333333	3.04548E-8	1261.333333	7.13155E-8	
1264	8.11789E-8	1264	8.81838E-8	
1266.666667	2.55464E-8	1266.666667	8.73416E-8	
1269.333333	1.25487E-7	1269.333333	1.91881E-7	
1272	3.6797E-8	1272	2.17041E-8	
1274.666667	6.95453E-9	1274.666667	4.01408E-8	
1277.333333	1.44081E-8	1277.333333	1.0423E-7	
1280	1.30069E-8	1280	3.19762E-7	
1282.666667	1.72192E-7	1282.666667	1.49732E-7	
1285.333333	6.51868E-8	1285.333333	1.77791E-7	
1288	4.36491E-7	1288	2.9253E-7	
1290.666667	3.85129E-8	1290.666667	2.22975E-7	
1293.333333	1.13094E-7	1293.333333	1.68839E-8	
1296	1.1486E-7	1296	4.09761E-8	
1298.666667	2.90303E-7	1298.666667	8.36509E-9	
1301.333333	1.62287E-7	1301.333333	1.67425E-8	
1304	1.28438E-7	1304	1.773E-7	
1306.666667	4.04694E-8	1306.666667	1.7894E-8	
1309.333333	3.8821E-8	1309.333333	1.47859E-8	
1312	4.75048E-8	1312	1.7168E-7	
1314.666667	1.37113E-7	1314.666667	1.07862E-6	
1317.333333	5.85618E-7	1317.333333	6.64757E-8	
1320	8.99143E-6	1320	2.94815E-6	
1322.666667	1.93243E-6	1322.666667	8.5471E-6	
1325.333333	1.55117E-6	1325.333333	1.6293E-6	
1328	1.00456E-6	1328	1.3078E-7	
1330.666667	1.73288E-7	1330.666667	5.23955E-8	
1333.333333	2.53397E-7	1333.333333	4.44294E-8	
1336	1.96656E-7	1336	2.76902E-7	
1338.666667	2.45899E-7	1338.666667	3.88399E-8	
1341.333333	2.5921E-7	1341.333333	2.6508E-8	
1344	1.59395E-7	1344	2.90595E-8	
1346.666667	1.62615E-7	1346.666667	3.99633E-8	
1349.333333	1.33331E-7	1349.333333	9.77769E-8	
1352	2.75892E-8	1352	1.65417E-7	
1354.666667	2.04595E-8	1354.666667	5.28057E-9	
1357.333333	1.01465E-7	1357.333333	1.51145E-7	
1360	3.10171E-8	1360	1.73448E-7	
1362.666667	1.39531E-7	1362.666667	9.03003E-8	
1365.333333	3.19213E-8	1365.333333	2.07395E-8	
1368	5.32222E-8	1368	5.22932E-7	
1370.666667	1.16734E-7	1370.666667	4.02795E-7	
1373.333333	9.84959E-8	1373.333333	7.74336E-9	
1376	1.75046E-7	1376	2.34943E-8	
1378.666667	1.19297E-7	1378.666667	2.18032E-7	
1381.333333	6.55176E-8	1381.333333	2.95887E-8	
1384	1.00277E-7	1384	1.18214E-7	
1386.666667	1.42497E-7	1386.666667	5.17868E-7	
1389.333333	6.79518E-8	1389.333333	5.75929E-8	
1392	9.09256E-10	1392	2.61447E-7	
1394.666667	1.13359E-8	1394.666667	1.61308E-7	
1397.333333	6.03218E-8	1397.333333	1.47278E-7	
1400	3.66041E-7	1400	1.54537E-7	
1402.666667	2.01929E-9	1402.666667	2.96289E-7	
1405.333333	1.26097E-7	1405.333333	9.37534E-8	
1408	3.43424E-8	1408	1.30299E-7	
1410.666667	4.11012E-8	1410.666667	3.09809E-7	
1413.333333	1.06851E-7	1413.333333	5.22404E-7	
1416	1.10445E-7	1416	7.20963E-7	
1418.666667	9.00673E-8	1418.666667	1.08528E-7	
