Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
1184	8.43708E-7	1184	5.33844E-9	
1186.666667	9.6886E-7	1186.666667	4.78398E-7	
1189.333333	9.7405E-7	1189.333333	1.47925E-7	
1192	1.09953E-7	1192	9.9538E-7	
1194.666667	2.43763E-8	1194.666667	9.86269E-9	
1197.333333	2.42041E-7	1197.333333	2.43232E-7	
1200	1.57524E-7	1200	5.51446E-7	
1202.666667	3.32992E-7	1202.666667	4.39184E-7	
1205.333333	5.09345E-7	1205.333333	8.30814E-7	
1208	1.95383E-7	1208	7.84735E-7	
1210.666667	3.38676E-7	1210.666667	3.44988E-7	
1213.333333	3.82497E-7	1213.333333	9.0359E-7	
1216	6.52198E-8	1216	4.4005E-7	
1218.666667	3.43663E-7	1218.666667	5.95538E-8	
1221.333333	4.92303E-7	1221.333333	1.26029E-7	
1224	1.33095E-6	1224	1.00411E-6	
1226.666667	1.58204E-7	1226.666667	1.00099E-8	
1229.333333	5.18814E-7	1229.333333	2.55505E-7	
1232	4.7699E-8	1232	9.09592E-7	
1234.666667	1.20172E-7	1234.666667	1.1375E-6	
1237.333333	7.1108E-7	1237.333333	4.52871E-9	
1240	4.74342E-7	1240	1.22117E-7	
1242.666667	7.89831E-8	1242.666667	4.24492E-7	
1245.333333	1.28252E-6	1245.333333	5.32026E-7	
1248	1.43239E-7	1248	3.00186E-7	
1250.666667	4.94279E-8	1250.666667	8.85764E-8	
1253.333333	1.75092E-7	1253.333333	2.33256E-7	
1256	1.28453E-7	1256	7.5731E-7	
1258.666667	8.72738E-8	1258.666667	8.05587E-8	
1261.333333	6.46514E-8	1261.333333	2.17819E-8	
1264	1.03802E-7	1264	1.86776E-7	
1266.666667	4.18502E-8	1266.666667	4.4977E-8	
1269.333333	6.84131E-9	1269.333333	4.92247E-8	
1272	1.2034E-8	1272	2.39635E-8	
1274.666667	9.42105E-9	1274.666667	2.84069E-7	
1277.333333	7.5153E-8	1277.333333	1.23333E-7	
1280	2.39737E-8	1280	3.31042E-7	
1282.666667	5.53071E-7	1282.666667	2.12702E-7	
1285.333333	2.3277E-7	1285.333333	1.79714E-8	
1288	1.02353E-7	1288	8.18994E-8	
1290.666667	1.0888E-7	1290.666667	3.63235E-7	
1293.333333	5.42956E-7	1293.333333	5.80173E-7	
1296	8.75645E-8	1296	6.3985E-7	
1298.666667	1.69324E-7	1298.666667	7.80455E-8	
1301.333333	1.54682E-7	1301.333333	1.91888E-7	
1304	1.12216E-7	1304	8.76234E-9	
1306.666667	1.55993E-8	1306.666667	2.88731E-7	
1309.333333	3.6057E-8	1309.333333	3.27965E-7	
1312	3.163E-7	1312	6.11861E-8	
1314.666667	9.71021E-7	1314.666667	3.34674E-8	
1317.333333	1.88604E-7	1317.333333	1.75237E-7	
1320	1.45782E-7	1320	8.04709E-7	
1322.666667	2.67972E-7	1322.666667	7.01704E-8	
1325.333333	2.05581E-7	1325.333333	3.18233E-7	
1328	6.76515E-9	1328	2.51208E-8	
1330.666667	1.43332E-7	1330.666667	1.41682E-8	
1333.333333	3.91957E-8	1333.333333	4.31864E-7	
1336	1.66776E-8	1336	2.81353E-8	
1338.666667	6.31346E-7	1338.666667	2.28356E-8	
1341.333333	6.37326E-8	1341.333333	4.5178E-9	
1344	7.03244E-8	1344	4.94392E-8	
1346.666667	1.7626E-7	1346.666667	9.4273E-8	
1349.333333	2.48635E-8	1349.333333	2.16509E-8	
1352	5.27483E-9	1352	6.34285E-8	
1354.666667	5.37873E-9	1354.666667	5.66622E-8	
1357.333333	6.38602E-7	1357.333333	1.75569E-7	
1360	1.8682E-8	1360	5.98507E-9	
1362.666667	1.11307E-7	1362.666667	1.54212E-7	
1365.333333	5.47125E-8	1365.333333	1.40243E-7	
1368	2.72214E-8	1368	2.15114E-7	
1370.666667	9.08519E-8	1370.666667	1.4482E-7	
1373.333333	3.55732E-8	1373.333333	1.69153E-7	
1376	7.14127E-8	1376	1.24616E-7	
1378.666667	5.78898E-8	1378.666667	1.08965E-7	
1381.333333	2.44846E-8	1381.333333	1.80716E-8	
1384	3.73374E-7	1384	9.58983E-8	
1386.666667	2.55181E-8	1386.666667	1.35277E-7	
1389.333333	6.59757E-8	1389.333333	3.72928E-7	
1392	2.94792E-7	1392	3.03511E-7	
1394.666667	6.95334E-8	1394.666667	1.36572E-7	
1397.333333	4.2575E-7	1397.333333	1.83528E-7	
1400	6.82271E-8	1400	2.95393E-7	
1402.666667	3.90437E-7	1402.666667	3.37131E-7	
1405.333333	1.0431E-8	1405.333333	2.7009E-7	
1408	4.51185E-8	1408	6.2767E-8	
1410.666667	3.87536E-7	1410.666667	2.52734E-8	
1413.333333	7.04807E-8	1413.333333	2.40008E-8	
1416	1.44803E-7	1416	2.22853E-8	
1418.666667	3.13235E-7	1418.666667	1.40042E-7	
